date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2012-01-01,52.0,71.0,0.0,20.0,20.0,39.0,26.0,30.32,30.3,Fair,Fair,59.0,66.0,No,No
2012-01-02,45.0,62.0,0.0,14.0,16.0,38.0,18.0,30.62,30.52,Fair,Fair,50.0,62.0,No,No
2012-01-03,39.0,54.0,0.0,7.0,8.0,42.0,34.0,30.57,30.43,Fair,Fair,45.0,54.0,No,No
2012-01-04,43.0,72.0,0.0,0.0,3.0,86.0,55.0,30.26,30.17,Fair,Mostly Cloudy,54.0,71.0,No,No
2012-01-05,56.0,74.0,0.0,3.0,6.0,75.0,52.0,30.26,30.13,Fair,Mostly Cloudy,61.0,74.0,No,No
2012-01-06,59.0,75.0,0.0,7.0,15.0,90.0,48.0,30.05,29.96,Mostly Cloudy,Partly Cloudy,64.0,74.0,No,No
2012-01-07,55.0,76.0,0.0,0.0,10.0,93.0,50.0,30.0,29.92,Mostly Cloudy,Fair,63.0,76.0,No,No
2012-01-08,63.0,77.0,0.0,3.0,14.0,96.0,64.0,30.02,29.93,Cloudy,Mostly Cloudy,66.0,76.0,No,Yes
2012-01-09,63.0,70.0,8.899999999999999,16.0,10.0,87.0,90.0,29.87,29.8,Cloudy,Cloudy,70.0,66.0,Yes,No
2012-01-10,47.0,55.0,0.0,9.0,13.0,80.0,66.0,29.94,29.86,Cloudy,Cloudy,47.0,51.0,No,No
2012-01-11,43.0,72.0,0.0,7.0,14.0,63.0,29.0,29.85,29.69,Fair,Fair,51.0,72.0,No,No
2012-01-12,40.0,58.0,0.0,30.0,13.0,48.0,22.0,30.13,30.12,Partly Cloudy / Windy,Cloudy,45.0,50.0,No,No
2012-01-13,32.0,54.0,0.0,0.0,10.0,49.0,22.0,30.3,30.25,Partly Cloudy,Partly Cloudy,42.0,54.0,No,No
2012-01-14,34.0,63.0,0.0,5.0,9.0,66.0,21.0,30.37,30.29,Fair,Partly Cloudy,45.0,62.0,No,No
2012-01-15,39.0,67.0,0.0,3.0,15.0,80.0,63.0,30.34,30.23,Mostly Cloudy,Mostly Cloudy,52.0,66.0,No,No
2012-01-16,62.0,76.0,0.0,9.0,16.0,90.0,71.0,30.15,30.02,Partly Cloudy,Cloudy,67.0,74.0,No,No
2012-01-17,54.0,74.0,0.0,9.0,12.0,81.0,81.0,30.06,29.99,Cloudy,Cloudy,72.0,73.0,No,No
2012-01-18,44.0,62.0,0.0,13.0,8.0,54.0,41.0,30.26,30.11,Fair,Fair,46.0,61.0,No,No
2012-01-19,52.0,75.0,0.0,7.0,8.0,77.0,46.0,30.17,30.11,Cloudy,Partly Cloudy,54.0,64.0,No,No
2012-01-20,64.0,78.0,0.0,12.0,17.0,90.0,62.0,29.88,29.8,Cloudy,Partly Cloudy,70.0,78.0,No,No
2012-01-21,63.0,72.0,0.0,5.0,5.0,93.0,68.0,29.91,29.87,Cloudy,Mostly Cloudy,69.0,70.0,No,No
2012-01-22,64.0,78.0,0.0,14.0,18.0,90.0,68.0,29.8,29.75,Cloudy,Partly Cloudy,71.0,78.0,No,No
2012-01-23,57.0,71.0,0.0,14.0,8.0,53.0,34.0,30.02,29.96,Cloudy,Cloudy,59.0,71.0,No,No
2012-01-24,60.0,69.0,0.0,10.0,10.0,65.0,94.0,29.98,29.86,Mostly Cloudy,Cloudy,65.0,64.0,No,Yes
2012-01-25,55.0,73.0,5.199999999999998,22.0,3.0,87.0,93.0,29.77,29.68,Mostly Cloudy / Windy,Cloudy,71.0,63.0,Yes,No
2012-01-26,51.0,64.0,0.0,14.0,17.0,77.0,52.0,29.94,29.88,Cloudy,Partly Cloudy,54.0,64.0,No,No
2012-01-27,41.0,66.0,0.0,3.0,10.0,64.0,40.0,30.07,29.97,Fair,Fair,54.0,66.0,No,No
2012-01-28,51.0,66.0,0.0,16.0,17.0,53.0,25.0,30.26,30.26,Fair,Fair,56.0,66.0,No,No
