date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2013-01-01,48.0,70.0,0.0,17.0,13.0,87.0,77.0,30.0,30.02,Cloudy,Cloudy,56.0,56.0,No,No
2013-01-02,43.0,47.0,0.0,12.0,12.0,76.0,73.0,30.23,30.19,Cloudy,Cloudy,43.0,44.0,No,No
2013-01-03,40.0,54.0,0.0,16.0,9.0,62.0,35.0,30.35,30.29,Partly Cloudy,Cloudy,43.0,54.0,No,No
2013-01-04,46.0,50.0,0.0,14.0,10.0,61.0,59.0,30.44,30.34,Cloudy,Cloudy,47.0,49.0,No,Yes
2013-01-05,44.0,47.0,1.0999999999999999,9.0,7.0,93.0,93.0,30.33,30.24,Cloudy,Cloudy,44.0,46.0,Yes,No
2013-01-06,44.0,59.0,0.0,9.0,12.0,90.0,49.0,30.29,30.21,Mostly Cloudy,Partly Cloudy,45.0,59.0,No,No
2013-01-07,39.0,56.0,0.0,6.0,8.0,76.0,64.0,30.25,30.14,Mostly Cloudy,Cloudy,46.0,55.0,No,Yes
2013-01-08,52.0,63.0,2.2,13.0,7.0,88.0,93.0,29.98,29.87,Cloudy,Cloudy,61.0,62.0,Yes,Yes
2013-01-09,61.0,68.0,2.7,10.0,6.0,90.0,93.0,29.92,29.89,Cloudy,Cloudy,64.0,65.0,Yes,Yes
2013-01-10,54.0,69.0,0.1,5.0,14.0,88.0,45.0,30.01,29.96,Mostly Cloudy,Partly Cloudy,59.0,69.0,Yes,No
2013-01-11,48.0,71.0,0.0,3.0,7.0,72.0,75.0,29.98,29.88,Mostly Cloudy,Cloudy,57.0,69.0,No,No
2013-01-12,66.0,75.0,0.0,13.0,18.0,87.0,82.0,29.83,29.72,Cloudy,Cloudy,73.0,74.0,No,Yes
2013-01-13,44.0,72.0,0.1,13.0,15.0,89.0,68.0,29.98,30.0,Cloudy,Mostly Cloudy,44.0,50.0,Yes,No
2013-01-14,42.0,48.0,0.0,14.0,13.0,89.0,71.0,30.15,30.08,Cloudy,Cloudy,42.0,47.0,No,No
2013-01-15,37.0,45.0,0.0,13.0,12.0,86.0,83.0,30.09,29.99,Cloudy,Cloudy,39.0,40.0,No,No
2013-01-16,36.0,52.0,0.0,13.0,15.0,65.0,27.0,30.24,30.13,Partly Cloudy,Fair,41.0,52.0,No,No
2013-01-17,31.0,62.0,0.0,3.0,12.0,62.0,28.0,30.37,30.3,Fair,Fair,41.0,62.0,No,No
2013-01-18,39.0,59.0,0.0,3.0,8.0,69.0,36.0,30.48,30.37,Fair,Fair,49.0,59.0,No,No
2013-01-19,38.0,67.0,0.0,7.0,5.0,83.0,47.0,30.29,30.16,Mostly Cloudy,Mostly Cloudy,50.0,66.0,No,No
2013-01-20,45.0,69.0,0.0,0.0,3.0,10.0,47.0,30.23,30.09,Cloudy,Mostly Cloudy,49.0,68.0,No,No
2013-01-21,45.0,71.0,0.0,0.0,0.0,89.0,47.0,30.16,30.13,Cloudy,Cloudy,55.0,70.0,No,No
2013-01-22,48.0,70.0,0.0,5.0,7.0,80.0,49.0,30.26,30.2,Fair,Fair,55.0,70.0,No,No
2013-01-23,48.0,73.0,0.0,5.0,8.0,96.0,55.0,30.3,30.21,Fair,Mostly Cloudy,57.0,73.0,No,No
2013-01-24,57.0,80.0,0.0,0.0,12.0,97.0,48.0,30.25,30.12,Cloudy,Partly Cloudy,61.0,80.0,No,No
2013-01-25,56.0,79.0,0.0,0.0,10.0,97.0,47.0,30.14,30.05,Cloudy,Partly Cloudy,61.0,79.0,No,No
2013-01-26,61.0,78.0,0.0,3.0,12.0,96.0,50.0,30.14,30.06,Partly Cloudy,Mostly Cloudy,64.0,78.0,No,No
