date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2018-01-01,31.0,40.0,0.0,15.0,13.0,56.0,34.0,30.62,30.55,Cloudy,Cloudy,32.0,39.0,No,No
2018-01-02,29.0,34.0,0.0,9.0,7.0,51.0,46.0,30.56,30.4,Cloudy,Cloudy,29.0,33.0,No,No
2018-01-03,26.0,45.0,0.0,13.0,12.0,47.0,31.0,30.43,30.3,Fair,Fair,28.0,44.0,No,No
2018-01-04,28.0,54.0,0.0,6.0,8.0,62.0,28.0,30.35,30.27,Partly Cloudy,Partly Cloudy,39.0,54.0,No,No
2018-01-05,42.0,55.0,0.0,7.0,8.0,68.0,55.0,30.36,30.29,Cloudy,Mostly Cloudy,46.0,54.0,No,No
2018-01-06,38.0,62.0,0.0,7.0,12.0,79.0,67.0,30.33,30.25,Fair,Partly Cloudy,46.0,61.0,No,Yes
2018-01-07,49.0,70.0,1.0,9.0,8.0,10.0,78.0,30.09,29.89,Mostly Cloudy,Cloudy,56.0,68.0,Yes,Yes
2018-01-08,49.0,66.0,1.4,18.0,14.0,83.0,43.0,30.0,29.96,Cloudy,Fair,57.0,66.0,Yes,No
2018-01-09,44.0,56.0,0.0,14.0,0.0,96.0,80.0,30.12,30.03,Cloudy,Cloudy,48.0,55.0,No,No
2018-01-10,51.0,76.0,0.0,5.0,7.0,10.0,83.0,29.97,29.82,Cloudy,Cloudy,55.0,61.0,No,Yes
2018-01-11,42.0,79.0,1.2999999999999998,5.0,10.0,10.0,97.0,29.77,29.66,Cloudy,Cloudy,61.0,67.0,Yes,No
2018-01-12,32.0,48.0,0.0,21.0,20.0,52.0,34.0,30.18,30.12,Fair / Windy,Fair,34.0,48.0,No,No
2018-01-13,33.0,52.0,0.0,12.0,9.0,54.0,31.0,30.51,30.46,Fair,Fair,37.0,50.0,No,No
2018-01-14,34.0,51.0,0.0,9.0,7.0,76.0,59.0,30.52,30.41,Fair,Fair,38.0,51.0,No,No
2018-01-15,39.0,67.0,0.0,8.0,8.0,80.0,52.0,30.31,30.21,Partly Cloudy,Partly Cloudy,52.0,66.0,No,No
2018-01-16,25.0,54.0,0.0,22.0,20.0,96.0,89.0,30.54,30.55,Wintry Mix / Windy,Light Sleet,31.0,27.0,No,No
2018-01-17,20.0,37.0,0.0,15.0,9.0,72.0,43.0,30.7,30.59,Fair,Fair,22.0,36.0,No,No
2018-01-18,26.0,38.0,0.0,7.0,0.0,50.0,52.0,30.54,30.42,Cloudy,Cloudy,31.0,37.0,No,Yes
2018-01-19,37.0,52.0,0.4,8.0,12.0,74.0,10.0,30.25,30.11,Light Rain,Light Rain,43.0,51.0,Yes,Yes
2018-01-20,51.0,72.0,0.2,6.0,10.0,10.0,87.0,30.05,29.97,Fog,Mostly Cloudy,56.0,72.0,Yes,Yes
2018-01-21,63.0,73.0,0.2,8.0,12.0,10.0,87.0,29.96,29.85,Mostly Cloudy,Cloudy,66.0,71.0,Yes,Yes
2018-01-22,47.0,68.0,0.7,15.0,16.0,34.0,24.0,29.98,29.95,Fair,Partly Cloudy,61.0,65.0,Yes,No
