date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2006-01-01,64.0,81.0,0.0,8.0,14.0,90.0,54.0,29.77,29.65,Cloudy,Partly Cloudy,71.0,81.0,No,No
2006-01-02,57.0,79.0,0.0,9.0,10.0,87.0,22.0,29.91,29.89,Partly Cloudy,Fair,63.0,78.0,No,No
2006-01-03,49.0,79.0,0.0,0.0,10.0,60.0,24.0,30.07,29.98,Fair,Fair,60.0,79.0,No,No
2006-01-04,52.0,76.0,0.0,7.0,7.0,87.0,60.0,30.06,29.97,Mostly Cloudy,Mostly Cloudy,65.0,75.0,No,No
2006-01-05,51.0,69.0,0.0,16.0,23.0,42.0,21.0,30.2,30.13,Fair,Fair / Windy,57.0,68.0,No,No
2006-01-06,43.0,63.0,0.0,14.0,12.0,37.0,20.0,30.32,30.19,Fair,Fair,52.0,63.0,No,No
2006-01-07,38.0,74.0,0.0,8.0,10.0,52.0,54.0,30.18,30.01,Fair,Mostly Cloudy,50.0,77.0,No,No
2006-01-08,54.0,75.0,0.0,7.0,16.0,80.0,50.0,29.98,29.91,Fair,Partly Cloudy,62.0,75.0,No,No
2006-01-09,58.0,78.0,0.0,5.0,15.0,87.0,55.0,30.06,29.9,Mostly Cloudy,Mostly Cloudy,64.0,70.0,No,No
2006-01-10,43.0,65.0,0.0,20.0,12.0,54.0,36.0,30.26,30.14,Mostly Cloudy,Fair,51.0,61.0,No,No
2006-01-11,36.0,68.0,0.0,0.0,9.0,68.0,35.0,30.15,30.02,Fair,Fair,48.0,68.0,No,No
2006-01-12,56.0,74.0,0.0,7.0,13.0,90.0,73.0,29.94,29.83,Mostly Cloudy,Mostly Cloudy,65.0,73.0,No,No
2006-01-13,54.0,70.0,0.0,21.0,21.0,39.0,17.0,30.13,30.11,Fair / Windy,Fair / Windy,57.0,67.0,No,No
2006-01-14,40.0,66.0,0.0,5.0,5.0,38.0,16.0,30.33,30.21,Fair,Fair,50.0,66.0,No,No
2006-01-15,47.0,72.0,0.0,6.0,16.0,69.0,19.0,30.06,30.04,Mostly Cloudy,Fair,56.0,74.0,No,Yes
2006-01-16,56.0,72.0,1.3000000000000003,7.0,7.0,81.0,73.0,29.73,29.58,Cloudy,Cloudy,67.0,72.0,Yes,Yes
2006-01-17,41.0,57.0,0.1,23.0,30.0,48.0,25.0,29.97,30.02,Partly Cloudy / Windy,Fair / Windy,49.0,57.0,Yes,No
2006-01-18,41.0,72.0,0.0,9.0,17.0,52.0,29.0,30.26,30.13,Fair,Fair,51.0,72.0,No,No
2006-01-19,60.0,71.0,0.0,14.0,16.0,61.0,57.0,30.08,30.01,Cloudy,Cloudy,67.0,70.0,No,Yes
2006-01-20,64.0,75.0,0.1,12.0,14.0,75.0,78.0,29.98,29.93,Cloudy,Cloudy,69.0,71.0,Yes,No
2006-01-21,55.0,66.0,0.0,Blank,9.0,Blank,44.0,Blank,30.12,Blank,Cloudy,Blank,59.0,No,Yes
2006-01-22,50.0,64.0,0.8999999999999999,9.0,14.0,97.0,93.0,30.01,29.93,Cloudy,Cloudy,58.0,58.0,Yes,No
2006-01-23,50.0,57.0,0.0,10.0,10.0,83.0,74.0,30.14,30.09,Cloudy,Cloudy,51.0,57.0,No,No
2006-01-24,52.0,69.0,0.0,8.0,9.0,80.0,32.0,30.25,30.21,Cloudy,Mostly Cloudy,52.0,68.0,No,No
2006-01-25,43.0,70.0,0.0,9.0,10.0,57.0,24.0,30.4,30.34,Partly Cloudy,Mostly Cloudy,55.0,70.0,No,No
2006-01-26,53.0,58.0,0.0,13.0,9.0,38.0,62.0,30.38,30.34,Fair,Mostly Cloudy,53.0,56.0,No,No
2006-01-27,49.0,67.0,0.0,9.0,13.0,75.0,72.0,30.3,30.19,Mostly Cloudy,Cloudy,54.0,64.0,No,Yes
2006-01-28,62.0,74.0,1.5,8.0,14.0,87.0,84.0,30.02,29.88,Cloudy,Cloudy,65.0,69.0,Yes,No
2006-01-29,55.0,78.0,0.0,0.0,12.0,10.0,32.0,29.96,29.81,Cloudy,Fair,55.0,78.0,No,No
2006-01-30,56.0,73.0,0.0,12.0,20.0,75.0,17.0,29.88,29.91,Mostly Cloudy,Fair,65.0,73.0,No,No
2006-01-31,45.0,70.0,0.0,3.0,7.0,47.0,30.0,30.08,29.98,Fair,Fair,56.0,70.0,No,Yes
2006-02-01,55.0,73.0,0.6,7.0,12.0,84.0,94.0,29.81,29.65,Cloudy,Cloudy,65.0,64.0,Yes,No
2006-02-02,57.0,79.0,0.0,9.0,17.0,96.0,27.0,29.61,29.52,Cloudy,Fair,59.0,79.0,No,No
2006-02-03,50.0,74.0,0.0,5.0,26.0,69.0,48.0,29.64,29.72,Partly Cloudy,Mostly Cloudy / Windy,60.0,65.0,No,No
2006-02-04,42.0,70.0,0.0,8.0,15.0,66.0,16.0,30.12,30.03,Partly Cloudy,Mostly Cloudy,51.0,70.0,No,No
2006-02-05,46.0,75.0,0.0,14.0,17.0,62.0,41.0,29.99,29.81,Partly Cloudy,Mostly Cloudy,58.0,75.0,No,No
2006-02-06,53.0,68.0,0.0,13.0,18.0,75.0,28.0,29.98,30.08,Mostly Cloudy,Partly Cloudy,66.0,66.0,No,No
2006-02-07,42.0,63.0,0.0,6.0,8.0,41.0,24.0,30.38,30.27,Fair,Fair,49.0,63.0,No,No
2006-02-08,39.0,70.0,0.0,5.0,8.0,59.0,20.0,30.27,30.16,Mostly Cloudy,Fair,54.0,70.0,No,No
2006-02-09,44.0,64.0,0.0,6.0,10.0,72.0,52.0,30.27,30.16,Partly Cloudy,Mostly Cloudy,55.0,64.0,No,Yes
2006-02-10,46.0,72.0,1.0,7.0,17.0,90.0,78.0,29.96,29.76,Cloudy,Cloudy,62.0,70.0,Yes,No
2006-02-11,42.0,52.0,0.0,16.0,18.0,42.0,25.0,30.36,30.28,Fair,Fair,46.0,52.0,No,No
2006-02-12,30.0,60.0,0.0,6.0,16.0,53.0,17.0,30.43,30.25,Fair,Fair,38.0,59.0,No,No
2006-02-13,36.0,59.0,0.0,0.0,9.0,33.0,18.0,30.39,30.26,Fair,Fair,47.0,59.0,No,No
2006-02-14,40.0,73.0,0.0,5.0,12.0,67.0,44.0,30.11,29.98,Partly Cloudy,Mostly Cloudy,58.0,72.0,No,No
2006-02-15,59.0,75.0,0.0,8.0,14.0,78.0,64.0,29.99,29.92,Mostly Cloudy,Cloudy,68.0,73.0,No,No
2006-02-16,66.0,79.0,0.0,10.0,17.0,78.0,62.0,29.95,29.89,Cloudy,Mostly Cloudy,71.0,77.0,No,No
2006-02-17,51.0,68.0,0.0,13.0,13.0,86.0,90.0,30.18,30.16,Cloudy,Cloudy,55.0,54.0,No,Yes
2006-02-18,40.0,50.0,0.2,20.0,17.0,89.0,81.0,30.27,30.24,Cloudy,Cloudy,44.0,43.0,Yes,No
2006-02-19,37.0,39.0,0.0,9.0,10.0,86.0,79.0,30.35,30.25,Cloudy,Cloudy,37.0,39.0,No,No
2006-02-20,37.0,55.0,0.0,10.0,9.0,89.0,67.0,30.16,30.06,Cloudy,Cloudy,40.0,55.0,No,No
2006-02-21,50.0,61.0,0.0,6.0,7.0,97.0,87.0,30.03,29.93,Cloudy,Cloudy,52.0,61.0,No,No
2006-02-22,60.0,77.0,0.0,6.0,13.0,90.0,66.0,29.87,29.81,Cloudy,Mostly Cloudy,71.0,77.0,No,No
2006-02-23,57.0,71.0,0.0,14.0,12.0,74.0,41.0,30.11,30.05,Cloudy,Mostly Cloudy,57.0,71.0,No,Yes
2006-02-24,53.0,61.0,0.30000000000000004,12.0,10.0,51.0,67.0,30.15,30.06,Cloudy,Cloudy,57.0,59.0,Yes,Yes
2006-02-25,55.0,61.0,0.8999999999999999,6.0,10.0,93.0,90.0,29.99,29.99,Cloudy,Cloudy,58.0,58.0,Yes,No
2006-02-26,52.0,66.0,0.0,14.0,10.0,74.0,37.0,30.41,30.36,Mostly Cloudy,Fair,53.0,66.0,No,No
2006-02-27,43.0,73.0,0.0,7.0,15.0,70.0,42.0,30.27,30.12,Partly Cloudy,Mostly Cloudy,58.0,73.0,No,No
2006-02-28,56.0,76.0,0.0,9.0,14.0,70.0,50.0,30.06,29.96,Fair,Mostly Cloudy,67.0,76.0,No,No
2006-03-01,55.0,80.0,0.0,10.0,12.0,79.0,48.0,29.98,29.89,Fair,Mostly Cloudy,67.0,80.0,No,No
2006-03-02,59.0,83.0,0.0,6.0,7.0,93.0,47.0,29.98,29.9,Cloudy,Mostly Cloudy,66.0,80.0,No,No
2006-03-03,61.0,79.0,0.0,10.0,9.0,66.0,25.0,30.15,30.09,Cloudy,Partly Cloudy,67.0,78.0,No,No
2006-03-04,54.0,70.0,0.0,14.0,12.0,58.0,61.0,30.21,30.16,Mostly Cloudy,Mostly Cloudy,59.0,68.0,No,No
2006-03-05,61.0,75.0,0.0,8.0,12.0,81.0,69.0,30.17,30.11,Partly Cloudy,Cloudy,68.0,75.0,No,No
2006-03-06,62.0,81.0,0.0,0.0,0.0,90.0,54.0,30.17,30.09,Cloudy,Mostly Cloudy,69.0,81.0,No,No
2006-03-07,64.0,74.0,0.0,5.0,12.0,93.0,73.0,30.13,30.02,Cloudy,Mostly Cloudy,67.0,74.0,No,No
2006-03-08,66.0,79.0,0.0,16.0,24.0,78.0,62.0,29.87,29.7,Mostly Cloudy,Mostly Cloudy / Windy,72.0,77.0,No,No
2006-03-09,59.0,82.0,0.0,13.0,13.0,84.0,14.0,29.57,29.52,Cloudy,Fair,72.0,81.0,No,No
2006-03-10,53.0,79.0,0.0,7.0,10.0,90.0,71.0,29.72,29.63,Cloudy,Cloudy,70.0,77.0,No,No
2006-03-11,72.0,81.0,0.0,12.0,15.0,85.0,72.0,29.78,29.75,Cloudy,Mostly Cloudy,74.0,79.0,No,No
2006-03-12,72.0,82.0,0.0,10.0,17.0,82.0,69.0,29.86,29.76,Cloudy,Mostly Cloudy,75.0,81.0,No,No
2006-03-13,63.0,77.0,0.0,8.0,12.0,84.0,22.0,29.88,29.86,Cloudy,Mostly Cloudy,73.0,75.0,No,No
2006-03-14,55.0,73.0,0.0,17.0,15.0,36.0,17.0,30.21,30.16,Fair,Fair,60.0,73.0,No,No
2006-03-15,64.0,64.0,0.0,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,No,No
2006-03-16,64.0,82.0,0.0,5.0,12.0,90.0,54.0,30.06,29.98,Cloudy,Mostly Cloudy,68.0,82.0,No,No
2006-03-17,64.0,76.0,0.0,15.0,5.0,90.0,81.0,30.09,30.07,Cloudy,Cloudy,68.0,70.0,No,No
2006-03-18,64.0,68.0,0.0,12.0,15.0,58.0,65.0,30.03,29.93,Cloudy,Cloudy,64.0,66.0,No,No
2006-03-19,68.0,79.0,0.0,13.0,12.0,82.0,74.0,29.8,29.68,Mostly Cloudy,Mostly Cloudy,74.0,76.0,No,No
2006-03-20,64.0,78.0,0.0,8.0,16.0,93.0,58.0,29.56,29.56,Cloudy,Mostly Cloudy,71.0,76.0,No,No
2006-03-21,51.0,71.0,0.0,14.0,13.0,38.0,26.0,30.02,29.98,Partly Cloudy,Fair,55.0,70.0,No,Yes
2006-03-22,47.0,58.0,1.7000000000000002,3.0,5.0,97.0,93.0,30.08,30.02,Cloudy,Cloudy,65.0,70.0,Yes,No
2006-03-23,45.0,54.0,0.0,13.0,17.0,66.0,47.0,30.31,30.26,Mostly Cloudy,Mostly Cloudy,48.0,54.0,No,No
