date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2015-01-01,43.0,47.0,0.0,10.0,12.0,86.0,93.0,30.23,30.06,Cloudy,Light Rain,43.0,45.0,No,Yes
2015-01-02,47.0,56.0,0.2,9.0,0.0,10.0,97.0,30.05,29.94,Cloudy,Fog,49.0,56.0,Yes,Yes
2015-01-03,42.0,55.0,1.6,7.0,13.0,96.0,86.0,29.93,29.9,Cloudy,Mostly Cloudy,50.0,51.0,Yes,No
2015-01-04,38.0,55.0,0.0,15.0,14.0,71.0,51.0,30.33,30.35,Mostly Cloudy,Mostly Cloudy,47.0,55.0,No,No
2015-01-05,34.0,51.0,0.0,14.0,0.0,70.0,44.0,30.62,30.47,Cloudy,Partly Cloudy,35.0,48.0,No,No
2015-01-06,36.0,64.0,0.0,3.0,0.0,71.0,29.0,30.42,30.29,Mostly Cloudy,Partly Cloudy,46.0,63.0,No,No
2015-01-07,41.0,61.0,0.0,5.0,20.0,83.0,51.0,30.37,30.42,Cloudy,Mostly Cloudy,53.0,59.0,No,No
2015-01-08,30.0,42.0,0.0,10.0,6.0,48.0,38.0,30.6,30.39,Partly Cloudy,Mostly Cloudy,33.0,42.0,No,No
2015-01-09,37.0,43.0,0.0,14.0,12.0,89.0,93.0,30.4,30.37,Light Rain,Cloudy,39.0,38.0,No,Yes
2015-01-10,37.0,41.0,0.2,14.0,10.0,55.0,83.0,30.42,30.33,Cloudy,Light Rain,40.0,38.0,Yes,Yes
2015-01-11,39.0,50.0,3.9000000000000004,3.0,3.0,96.0,97.0,30.15,30.05,Light Rain,Fog,46.0,47.0,Yes,No
2015-01-12,44.0,49.0,0.0,13.0,14.0,97.0,86.0,30.21,30.18,Fog,Cloudy,45.0,49.0,No,No
2015-01-13,43.0,46.0,0.0,15.0,9.0,89.0,79.0,30.34,30.27,Cloudy,Cloudy,44.0,46.0,No,No
2015-01-14,42.0,45.0,0.0,9.0,3.0,76.0,71.0,30.29,30.2,Cloudy,Cloudy,42.0,45.0,No,No
2015-01-15,39.0,53.0,0.0,8.0,10.0,79.0,55.0,30.25,30.2,Cloudy,Mostly Cloudy,42.0,53.0,No,No
2015-01-16,36.0,59.0,0.0,0.0,5.0,76.0,37.0,30.31,30.21,Partly Cloudy,Mostly Cloudy,43.0,58.0,No,No
2015-01-17,41.0,68.0,0.0,3.0,13.0,77.0,45.0,30.11,30.0,Partly Cloudy,Mostly Cloudy,51.0,68.0,No,No
2015-01-18,46.0,67.0,0.0,3.0,5.0,59.0,25.0,30.28,30.18,Mostly Cloudy,Fair,55.0,67.0,No,No
2015-01-19,40.0,71.0,0.0,3.0,8.0,86.0,53.0,30.09,29.95,Partly Cloudy,Fair,51.0,71.0,No,No
2015-01-20,51.0,74.0,0.0,3.0,6.0,10.0,46.0,29.94,29.86,Fog,Fair,55.0,73.0,No,No
2015-01-21,56.0,63.0,0.0,8.0,10.0,10.0,84.0,30.06,29.98,Fog,Cloudy,58.0,63.0,No,Yes
2015-01-22,46.0,61.0,4.499999999999999,13.0,17.0,78.0,96.0,29.92,29.93,Cloudy,Heavy Rain,61.0,48.0,Yes,No
2015-01-23,40.0,45.0,0.0,15.0,16.0,93.0,82.0,30.09,30.1,Light Rain,Cloudy,43.0,44.0,No,No
2015-01-24,36.0,61.0,0.0,7.0,10.0,85.0,42.0,30.2,30.08,Partly Cloudy,Partly Cloudy,42.0,61.0,No,No
2015-01-25,41.0,69.0,0.0,7.0,14.0,71.0,36.0,29.99,29.98,Fair,Mostly Cloudy,49.0,69.0,No,No
2015-01-26,46.0,67.0,0.0,7.0,9.0,52.0,27.0,30.22,30.11,Partly Cloudy,Mostly Cloudy,51.0,67.0,No,No
2015-01-27,49.0,78.0,0.0,8.0,6.0,62.0,28.0,30.11,30.05,Fair,Fair,55.0,77.0,No,No
2015-01-28,49.0,77.0,0.0,0.0,8.0,69.0,30.0,30.14,30.08,Fair,Partly Cloudy,60.0,77.0,No,No
2015-01-29,51.0,75.0,0.0,0.0,7.0,10.0,55.0,30.18,30.15,Fog,Partly Cloudy,56.0,74.0,No,No
2015-01-30,50.0,63.0,0.0,17.0,9.0,63.0,43.0,30.36,30.27,Cloudy,Mostly Cloudy,52.0,63.0,No,No
2015-01-31,48.0,63.0,0.0,14.0,16.0,77.0,83.0,30.14,30.01,Cloudy,Cloudy,52.0,60.0,No,No
2015-02-01,52.0,76.0,0.0,0.0,17.0,96.0,56.0,29.9,29.81,Mostly Cloudy,Mostly Cloudy,64.0,76.0,No,No
2015-02-02,38.0,51.0,0.0,18.0,8.0,50.0,33.0,30.3,30.22,Mostly Cloudy,Mostly Cloudy,39.0,50.0,No,No
2015-02-03,44.0,48.0,0.0,3.0,6.0,68.0,83.0,30.27,30.23,Cloudy,Light Rain,46.0,47.0,No,Yes
2015-02-04,43.0,61.0,0.1,9.0,0.0,93.0,72.0,30.08,30.0,Cloudy,Cloudy,46.0,60.0,Yes,No
2015-02-05,43.0,56.0,0.0,12.0,12.0,93.0,83.0,30.26,30.29,Fog,Cloudy,53.0,46.0,No,No
