date,min_temp,max_temp,rainfall,wind_speed9am,wind_speed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,rain_today,rain_tomorrow
2010-01-01,43.0,55.0,0.0,15.0,15.0,76.0,40.0,30.4,30.31,Cloudy,Fair,43.0,55.0,No,No
2010-01-02,35.0,53.0,0.0,5.0,7.0,76.0,28.0,30.35,30.24,Mostly Cloudy,Mostly Cloudy,44.0,52.0,No,No
2010-01-03,43.0,48.0,0.0,14.0,9.0,71.0,68.0,30.21,30.17,Cloudy,Cloudy,43.0,48.0,No,No
2010-01-04,36.0,48.0,0.0,15.0,14.0,70.0,42.0,30.37,30.35,Cloudy,Fair,41.0,48.0,No,No
2010-01-05,30.0,49.0,0.0,9.0,5.0,61.0,37.0,30.47,30.34,Fair,Partly Cloudy,35.0,48.0,No,No
2010-01-06,32.0,57.0,0.0,7.0,12.0,79.0,64.0,30.25,30.09,Cloudy,Cloudy,44.0,57.0,No,Yes
2010-01-07,31.0,58.0,0.1,29.0,26.0,83.0,62.0,30.11,30.22,Cloudy / Windy,Cloudy / Windy,50.0,39.0,Yes,No
2010-01-08,26.0,33.0,0.0,15.0,18.0,45.0,40.0,30.52,30.45,Cloudy,Cloudy,27.0,33.0,No,No
2010-01-09,22.0,42.0,0.0,9.0,6.0,56.0,27.0,30.55,30.44,Fair,Fair,27.0,41.0,No,No
2010-01-10,27.0,43.0,0.0,9.0,0.0,67.0,35.0,30.65,30.57,Fair,Fair,31.0,43.0,No,No
2010-01-11,26.0,57.0,0.0,3.0,3.0,76.0,47.0,30.5,30.38,Mostly Cloudy,Mostly Cloudy,38.0,55.0,No,No
2010-01-12,36.0,64.0,0.0,0.0,9.0,82.0,33.0,30.45,30.34,Fair,Fair,45.0,64.0,No,No
2010-01-13,37.0,58.0,0.0,Blank,8.0,Blank,64.0,Blank,30.22,Blank,Cloudy,Blank,56.0,No,Yes
2010-01-14,50.0,58.0,0.1,9.0,12.0,93.0,89.0,30.1,30.03,Cloudy,Cloudy,54.0,57.0,Yes,Yes
2010-01-15,52.0,56.0,0.5,14.0,18.0,77.0,80.0,29.99,29.83,Cloudy,Cloudy,54.0,54.0,Yes,Yes
2010-01-16,47.0,52.0,0.2,13.0,17.0,90.0,86.0,29.88,29.82,Cloudy,Cloudy,49.0,50.0,Yes,No
2010-01-17,41.0,62.0,0.0,5.0,9.0,93.0,52.0,30.01,29.96,Mostly Cloudy,Mostly Cloudy,45.0,62.0,No,No
2010-01-18,43.0,69.0,0.0,8.0,13.0,77.0,68.0,30.05,29.97,Partly Cloudy,Mostly Cloudy,56.0,68.0,No,No
2010-01-19,60.0,75.0,0.0,9.0,14.0,90.0,68.0,29.93,29.82,Mostly Cloudy,Partly Cloudy,64.0,74.0,No,No
2010-01-20,64.0,72.0,0.0,7.0,12.0,96.0,93.0,29.73,29.57,Cloudy,Cloudy,66.0,69.0,No,No
2010-01-21,56.0,77.0,0.0,8.0,14.0,93.0,18.0,29.7,29.65,Partly Cloudy,Fair,61.0,77.0,No,No
2010-01-22,48.0,75.0,0.0,7.0,14.0,60.0,28.0,29.82,29.68,Fair,Fair,60.0,75.0,No,No
2010-01-23,56.0,72.0,0.0,6.0,9.0,84.0,76.0,29.59,29.43,Cloudy,Cloudy,68.0,72.0,No,No
2010-01-24,51.0,67.0,0.0,10.0,22.0,42.0,30.0,29.65,29.6,Fair,Fair / Windy,57.0,67.0,No,No
2010-01-25,41.0,66.0,0.0,0.0,7.0,71.0,33.0,29.99,29.93,Fair,Fair,49.0,65.0,No,No
2010-01-26,45.0,66.0,0.0,6.0,10.0,49.0,25.0,30.2,30.14,Fair,Fair,54.0,66.0,No,No
2010-01-27,51.0,67.0,0.0,8.0,Blank,75.0,Blank,30.19,Blank,Cloudy,Blank,58.0,Blank,No,No
2010-01-28,58.0,64.0,0.0,13.0,9.0,86.0,84.0,30.12,29.97,Cloudy,Cloudy,60.0,63.0,No,Yes
2010-01-29,40.0,67.0,5.899999999999999,18.0,20.0,89.0,83.0,29.85,29.87,Cloudy,Cloudy,57.0,48.0,Yes,No
2010-01-30,34.0,42.0,0.0,16.0,18.0,73.0,62.0,30.12,30.1,Cloudy,Mostly Cloudy,36.0,41.0,No,No
2010-01-31,34.0,42.0,0.0,10.0,0.0,76.0,70.0,30.28,30.19,Cloudy,Cloudy,36.0,40.0,No,Yes
2010-02-01,38.0,59.0,0.1,7.0,7.0,79.0,86.0,30.11,30.02,Cloudy,Cloudy,44.0,50.0,Yes,No
2010-02-02,48.0,57.0,0.0,12.0,10.0,86.0,77.0,30.09,30.06,Cloudy,Cloudy,50.0,57.0,No,Yes
2010-02-03,49.0,54.0,0.6,16.0,13.0,80.0,74.0,30.02,29.96,Cloudy,Cloudy,49.0,52.0,Yes,Yes
2010-02-04,48.0,55.0,0.4,12.0,8.0,86.0,86.0,29.87,29.75,Cloudy,Cloudy,51.0,52.0,Yes,No
2010-02-05,48.0,59.0,0.0,7.0,13.0,93.0,62.0,29.9,29.86,Cloudy,Partly Cloudy,48.0,58.0,No,No
2010-02-06,43.0,64.0,0.0,10.0,7.0,74.0,37.0,30.06,30.0,Fair,Fair,49.0,63.0,No,No
2010-02-07,43.0,52.0,0.0,9.0,12.0,76.0,71.0,30.09,29.96,Mostly Cloudy,Cloudy,45.0,50.0,No,Yes
2010-02-08,48.0,68.0,1.2000000000000002,10.0,15.0,81.0,73.0,29.84,29.7,Mostly Cloudy,Cloudy,57.0,67.0,Yes,No
2010-02-09,40.0,51.0,0.0,15.0,21.0,68.0,36.0,30.16,30.16,Partly Cloudy,Fair / Windy,44.0,51.0,No,No
2010-02-10,35.0,46.0,0.0,16.0,3.0,50.0,39.0,30.3,30.23,Cloudy,Cloudy,39.0,46.0,No,Yes
2010-02-11,37.0,44.0,1.2,12.0,16.0,89.0,89.0,30.04,29.82,Cloudy,Cloudy,43.0,42.0,Yes,Yes
2010-02-12,37.0,41.0,0.2,13.0,12.0,86.0,70.0,30.05,30.06,Cloudy,Cloudy,37.0,41.0,Yes,No
2010-02-13,35.0,51.0,0.0,5.0,0.0,86.0,68.0,30.17,30.06,Cloudy,Mostly Cloudy,36.0,48.0,No,Yes
2010-02-14,39.0,69.0,0.1,0.0,9.0,89.0,52.0,29.98,29.88,Partly Cloudy,Mostly Cloudy,52.0,67.0,Yes,No
2010-02-15,35.0,52.0,0.0,14.0,20.0,46.0,23.0,30.26,30.14,Fair,Fair,39.0,51.0,No,No
2010-02-16,31.0,56.0,0.0,0.0,14.0,51.0,25.0,30.27,30.16,Fair,Fair,41.0,56.0,No,No
2010-02-17,35.0,60.0,0.0,6.0,14.0,49.0,19.0,30.28,30.16,Fair,Partly Cloudy,43.0,60.0,No,No
2010-02-18,38.0,61.0,0.0,0.0,9.0,59.0,34.0,30.24,30.14,Mostly Cloudy,Partly Cloudy,47.0,61.0,No,No
2010-02-19,47.0,59.0,0.0,8.0,10.0,74.0,72.0,30.11,30.02,Cloudy,Cloudy,53.0,58.0,No,No
2010-02-20,46.0,66.0,0.0,9.0,13.0,86.0,67.0,30.05,29.96,Cloudy,Mostly Cloudy,54.0,64.0,No,No
2010-02-21,55.0,70.0,0.0,6.0,6.0,97.0,78.0,29.83,29.73,Cloudy,Cloudy,63.0,68.0,No,No
