date,Kidnapping/Abduction,"Sex Offenses, Forcible",Robbery,Assault Offenses,Arson,Extortion/Blackmail,Burglary/Breaking & Entering,Larceny/Theft Offenses,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud Offenses,Embezzlement,Stolen Property Offenses,Destruction/Damage/Vandalism of Property,Drug/Narcotic Offenses,"Sex Offenses, Nonforcible",Pornography/Obscene Material,Gambling Offenses,Prostitution Offenses,Bribery,Weapon Law Violations,Human Trafficking or Kidnapping/Abduction,Animal Cruelty,Homicide Offenses,Bad Checks,Curfew/Loitering/Vagrancy Violations,Disorderly Conduct,Driving Under the Influence,Drunkenness,"Family Offenses, Nonviolent",Liquor Law Violations,Peeping Tom,Runaway,Trespass of Real Property,All Other Offenses,Offense Count,week,month,year,mon_year,season,is_holiday,is_weekend,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
2010-01-11,0,2,27,25,0,0,85,223,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,Monday,1,2010,Jan-2010,Winter,0,0,56.2,33.0,43.8,56.2,26.3,41.4,31.3,62.2,0.0,0,0.0,none,0.0,0.0,0.0,7.8,142.2,1031.5,8.5,9.9,170.6,14.6,6.0,07:18:02,17:41:07,0.88,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-12,0,2,30,14,0,0,97,182,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,Tuesday,1,2010,Jan-2010,Winter,0,0,62.1,41.1,51.5,62.1,38.0,50.5,37.9,63.1,0.0,0,0.0,none,0.0,0.0,0.0,8.3,318.7,1029.5,3.8,9.7,161.0,14.0,7.0,07:17:59,17:41:56,0.91,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-13,0,1,21,16,0,0,93,218,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,Wednesday,1,2010,Jan-2010,Winter,0,0,57.2,42.5,50.3,57.2,37.7,49.1,43.2,77.1,0.002,100,4.17,rain,0.0,0.0,16.1,10.3,108.5,1025.8,35.5,8.4,94.6,8.0,4.0,07:17:55,17:42:46,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-14,0,0,22,19,0,0,89,167,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,Thursday,1,2010,Jan-2010,Winter,0,0,57.2,49.9,53.9,57.2,46.1,53.4,52.1,93.5,0.028,100,58.33,rain,0.0,0.0,24.6,16.9,98.9,1018.5,90.1,6.1,80.5,6.9,4.0,07:17:49,17:43:37,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-15,0,1,41,21,0,0,105,236,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,459,Friday,1,2010,Jan-2010,Winter,0,0,55.1,50.2,52.9,55.1,50.2,52.9,48.9,86.2,0.051,100,41.67,rain,0.0,0.0,31.1,21.6,50.0,1014.1,85.8,6.9,30.4,2.4,1.0,07:17:41,17:44:28,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-16,0,2,29,38,0,0,60,230,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,Saturday,1,2010,Jan-2010,Winter,0,1,51.8,46.7,48.8,51.8,39.9,45.3,45.1,87.8,0.023,100,29.17,rain,0.0,0.0,27.7,17.9,343.6,1011.8,81.5,6.0,69.3,6.0,3.0,07:17:32,17:45:19,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-17,0,1,30,29,0,0,70,173,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,337,Sunday,1,2010,Jan-2010,Winter,0,1,61.9,44.3,53.0,61.9,39.7,51.3,44.4,74.1,0.0,0,0.0,none,0.0,0.0,17.2,10.8,287.3,1015.8,8.2,8.6,120.1,10.5,6.0,07:17:21,17:46:10,0.08,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-18,0,2,34,28,0,0,61,188,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,343,Monday,1,2010,Jan-2010,Winter,1,0,66.7,48.8,58.7,66.7,45.7,58.4,52.3,79.8,0.0,0,0.0,none,0.0,0.0,20.8,13.2,159.5,1016.4,49.5,9.8,147.2,12.8,6.0,07:17:08,17:47:02,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-19,0,2,26,28,0,0,113,187,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,Tuesday,1,2010,Jan-2010,Winter,0,0,74.9,59.9,66.5,74.9,59.9,66.5,62.1,86.8,0.0,0,0.0,none,0.0,0.0,22.8,14.2,167.1,1012.1,77.8,8.5,156.8,13.5,6.0,07:16:54,17:47:54,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-20,0,1,33,26,0,0,91,193,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,Wednesday,1,2010,Jan-2010,Winter,0,0,71.7,65.3,67.6,71.7,65.3,67.6,66.6,96.7,0.005,100,16.67,rain,0.0,0.0,24.2,15.9,169.9,1005.0,95.5,4.4,128.5,11.1,5.0,07:16:38,17:48:45,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
